"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 25 10:28:05 IDT 2020","Tue Aug 25 10:28:10 IDT 2020","4990","Suite","API Tests","SanityTests.studentListAPI","SanityTests.studentListAPI","test01_GetList","Test01: Get StudentList from server","Test Description: open server and get Students name list"
"passed","Tue Aug 25 10:28:10 IDT 2020","Tue Aug 25 10:28:11 IDT 2020","587","Suite","API Tests","SanityTests.studentListAPI","SanityTests.studentListAPI","test02_addStudent","Test02: Add Student record and verify it","Test Description: Add new Student record and verify it"
"passed","Tue Aug 25 10:28:11 IDT 2020","Tue Aug 25 10:28:11 IDT 2020","200","Suite","API Tests","SanityTests.studentListAPI","SanityTests.studentListAPI","test04_deleteStudent","Test04: Delete Student record and verify it","Test Description: Delete Student new record and verify it"
"passed","Tue Aug 25 10:28:11 IDT 2020","Tue Aug 25 10:28:11 IDT 2020","286","Suite","API Tests","SanityTests.studentListAPI","SanityTests.studentListAPI","test03_updateStudent","Test03: Update Student record and verify it","Test Description: Update Student record and verify it"
